timestamp,name,kind,importance
2024-11-13T13:30:00+00:00,CPI,CPI,high
2024-11-14T13:30:00+00:00,PPI,PPI,high
2024-12-11T13:30:00+00:00,CPI,CPI,high
2024-12-12T13:30:00+00:00,PPI,PPI,high
2025-01-10T13:30:00+00:00,Employment Situation (NFP),NFP,high
2025-01-14T13:30:00+00:00,PPI,PPI,high
2025-01-15T13:30:00+00:00,CPI,CPI,high
2025-01-29T19:00:00+00:00,FOMC Statement,FOMC,high
2025-02-07T13:30:00+00:00,Employment Situation (NFP),NFP,high
2025-02-12T13:30:00+00:00,CPI,CPI,high
2025-02-13T13:30:00+00:00,PPI,PPI,high
2025-03-07T13:30:00+00:00,Employment Situation (NFP),NFP,high
2025-03-12T12:30:00+00:00,CPI,CPI,high
2025-03-13T12:30:00+00:00,PPI,PPI,high
2025-03-19T18:00:00+00:00,FOMC Statement,FOMC,high
2025-04-04T12:30:00+00:00,Employment Situation (NFP),NFP,high
2025-04-10T12:30:00+00:00,CPI,CPI,high
2025-04-11T12:30:00+00:00,PPI,PPI,high
2025-05-02T12:30:00+00:00,Employment Situation (NFP),NFP,high
2025-05-07T18:00:00+00:00,FOMC Statement,FOMC,high
2025-05-13T12:30:00+00:00,CPI,CPI,high
2025-05-15T12:30:00+00:00,PPI,PPI,high
2025-06-06T12:30:00+00:00,Employment Situation (NFP),NFP,high
2025-06-11T12:30:00+00:00,CPI,CPI,high
2025-06-12T12:30:00+00:00,PPI,PPI,high
2025-06-18T18:00:00+00:00,FOMC Statement,FOMC,high
2025-07-03T12:30:00+00:00,Employment Situation (NFP),NFP,high
2025-07-15T12:30:00+00:00,CPI,CPI,high
2025-07-16T12:30:00+00:00,PPI,PPI,high
2025-07-30T18:00:00+00:00,FOMC Statement,FOMC,high
2025-08-01T12:30:00+00:00,Employment Situation (NFP),NFP,high
2025-08-12T12:30:00+00:00,CPI,CPI,high
2025-08-14T12:30:00+00:00,PPI,PPI,high
2025-09-05T12:30:00+00:00,Employment Situation (NFP),NFP,high
2025-09-10T12:30:00+00:00,PPI,PPI,high
2025-09-11T12:30:00+00:00,CPI,CPI,high
2025-09-17T18:00:00+00:00,FOMC Statement,FOMC,high
2025-10-24T12:30:00+00:00,CPI,CPI,high
2025-10-29T18:00:00+00:00,FOMC Statement,FOMC,high
2025-11-20T13:30:00+00:00,Employment Situation (NFP),NFP,high
2025-11-25T13:30:00+00:00,PPI,PPI,high
2025-12-10T19:00:00+00:00,FOMC Statement,FOMC,high
2025-12-16T13:30:00+00:00,Employment Situation (NFP),NFP,high
2025-12-18T13:30:00+00:00,CPI,CPI,high
2026-01-09T13:30:00+00:00,Employment Situation (NFP),NFP,high
2026-01-13T13:30:00+00:00,CPI,CPI,high
2026-01-14T13:30:00+00:00,PPI,PPI,high
2026-01-28T19:00:00+00:00,FOMC Statement,FOMC,high
2026-01-30T13:30:00+00:00,PPI,PPI,high
2026-02-11T13:30:00+00:00,Employment Situation (NFP),NFP,high
2026-02-13T13:30:00+00:00,CPI,CPI,high
2026-02-27T13:30:00+00:00,PPI,PPI,high
2026-03-06T13:30:00+00:00,Employment Situation (NFP),NFP,high
2026-03-11T12:30:00+00:00,CPI,CPI,high
2026-03-18T12:30:00+00:00,PPI,PPI,high
2026-03-18T18:00:00+00:00,FOMC Statement,FOMC,high
2026-04-03T12:30:00+00:00,Employment Situation (NFP),NFP,high
2026-04-10T12:30:00+00:00,CPI,CPI,high
2026-04-14T12:30:00+00:00,PPI,PPI,high
2026-04-29T18:00:00+00:00,FOMC Statement,FOMC,high
2026-05-08T12:30:00+00:00,Employment Situation (NFP),NFP,high
2026-05-12T12:30:00+00:00,CPI,CPI,high
2026-05-13T12:30:00+00:00,PPI,PPI,high
2026-06-05T12:30:00+00:00,Employment Situation (NFP),NFP,high
2026-06-10T12:30:00+00:00,CPI,CPI,high
2026-06-11T12:30:00+00:00,PPI,PPI,high
2026-06-17T18:00:00+00:00,FOMC Statement,FOMC,high
2026-07-02T12:30:00+00:00,Employment Situation (NFP),NFP,high
2026-07-14T12:30:00+00:00,CPI,CPI,high
2026-07-15T12:30:00+00:00,PPI,PPI,high
2026-07-29T18:00:00+00:00,FOMC Statement,FOMC,high
2026-08-07T12:30:00+00:00,Employment Situation (NFP),NFP,high
2026-08-12T12:30:00+00:00,CPI,CPI,high
2026-08-13T12:30:00+00:00,PPI,PPI,high
2026-09-04T12:30:00+00:00,Employment Situation (NFP),NFP,high
2026-09-10T12:30:00+00:00,PPI,PPI,high
2026-09-11T12:30:00+00:00,CPI,CPI,high
2026-09-16T18:00:00+00:00,FOMC Statement,FOMC,high
2026-10-02T12:30:00+00:00,Employment Situation (NFP),NFP,high
2026-10-14T12:30:00+00:00,CPI,CPI,high
2026-10-15T12:30:00+00:00,PPI,PPI,high
2026-10-28T18:00:00+00:00,FOMC Statement,FOMC,high
2026-11-06T13:30:00+00:00,Employment Situation (NFP),NFP,high
2026-11-10T13:30:00+00:00,CPI,CPI,high
2026-11-13T13:30:00+00:00,PPI,PPI,high
2026-12-04T13:30:00+00:00,Employment Situation (NFP),NFP,high
2026-12-09T19:00:00+00:00,FOMC Statement,FOMC,high
2026-12-10T13:30:00+00:00,CPI,CPI,high
2026-12-15T13:30:00+00:00,PPI,PPI,high
